HH_ID,Region,HHsize,HHincome,Car_own,NofTrips,Walk_share,Auto_share,Transit_share,Taxi_share,Bike_share,Other_share
36264,B,1,3,2,7,0.57,0.00,0.43,0.00,0.00,0.00
36315,B,1,2,2,10,0.40,0.00,0.60,0.00,0.00,0.00
36394,B,3,3,1,12,0.33,0.17,0.50,0.00,0.00,0.00
36408,B,2,3,2,18,0.44,0.00,0.44,0.11,0.00,0.00
36448,B,1,1,2,2,1.00,0.00,0.00,0.00,0.00,0.00
36456,B,2,3,1,13,0.38,0.00,0.62,0.00,0.00,0.00
36498,B,1,4,2,8,0.50,0.00,0.50,0.00,0.00,0.00
36552,B,3,4,1,12,0.67,0.17,0.17,0.00,0.00,0.00
36614,B,3,4,1,16,0.63,0.00,0.38,0.00,0.00,0.00
36639,B,3,4,2,2,1.00,0.00,0.00,0.00,0.00,0.00
36656,B,2,4,1,8,0.50,0.25,0.25,0.00,0.00,0.00
36672,A,3,4,1,10,0.60,0.20,0.20,0.00,0.00,0.00
37089,B,3,4,1,8,0.50,0.25,0.25,0.00,0.00,0.00
37147,A,2,4,1,2,0.00,1.00,0.00,0.00,0.00,0.00
37205,A,1,3,1,4,0.00,1.00,0.00,0.00,0.00,0.00
37226,B,1,3,2,4,0.25,0.00,0.50,0.00,0.25,0.00
37239,B,2,4,1,8,0.50,0.25,0.13,0.13,0.00,0.00
37257,A,2,3,1,2,0.00,1.00,0.00,0.00,0.00,0.00
37326,B,1,2,2,8,0.50,0.00,0.50,0.00,0.00,0.00
37359,B,1,2,2,2,1.00,0.00,0.00,0.00,0.00,0.00
37360,B,4,4,1,12,0.67,0.00,0.33,0.00,0.00,0.00
37411,A,4,5,1,10,0.60,0.20,0.20,0.00,0.00,0.00
37426,A,3,5,1,10,0.40,0.40,0.20,0.00,0.00,0.00
37479,A,4,5,1,6,0.67,0.33,0.00,0.00,0.00,0.00
37674,B,2,4,1,2,0.00,1.00,0.00,0.00,0.00,0.00
37734,B,3,5,1,4,0.00,0.50,0.50,0.00,0.00,0.00
37759,C,1,4,2,3,0.33,0.00,0.67,0.00,0.00,0.00
39299,C,1,2,2,2,1.00,0.00,0.00,0.00,0.00,0.00
39349,C,4,5,1,18,0.56,0.00,0.44,0.00,0.00,0.00
39373,C,2,4,1,4,1.00,0.00,0.00,0.00,0.00,0.00
39453,B,4,5,1,12,0.83,0.17,0.00,0.00,0.00,0.00
39561,A,3,4,1,8,0.75,0.00,0.25,0.00,0.00,0.00
39789,A,1,3,2,7,0.71,0.00,0.29,0.00,0.00,0.00
39899,A,4,5,1,15,0.73,0.00,0.27,0.00,0.00,0.00
40126,B,4,5,1,27,0.56,0.07,0.37,0.00,0.00,0.00
40219,B,3,4,1,20,0.55,0.05,0.40,0.00,0.00,0.00
40324,B,1,3,1,2,0.00,1.00,0.00,0.00,0.00,0.00
40422,B,4,4,1,16,0.25,0.50,0.25,0.00,0.00,0.00
40808,A,2,4,2,9,0.44,0.00,0.22,0.00,0.33,0.00
40835,C,1,4,1,2,0.00,1.00,0.00,0.00,0.00,0.00
40865,A,3,4,1,6,0.33,0.33,0.00,0.00,0.33,0.00
40894,A,3,4,1,27,0.52,0.00,0.48,0.00,0.00,0.00
40909,A,3,3,1,10,0.80,0.00,0.20,0.00,0.00,0.00
40926,A,2,5,1,6,0.00,1.00,0.00,0.00,0.00,0.00
40947,A,1,4,1,2,0.00,1.00,0.00,0.00,0.00,0.00
40949,A,2,4,1,8,0.50,0.00,0.25,0.00,0.00,0.25
41453,A,2,3,2,8,0.75,0.00,0.25,0.00,0.00,0.00
41472,A,1,4,1,2,0.00,1.00,0.00,0.00,0.00,0.00
41527,A,3,4,1,14,0.71,0.00,0.29,0.00,0.00,0.00
43614,A,4,5,1,6,0.67,0.33,0.00,0.00,0.00,0.00
43634,A,1,3,2,6,0.67,0.00,0.33,0.00,0.00,0.00
43672,B,2,3,1,8,0.50,0.25,0.25,0.00,0.00,0.00
43722,A,3,3,2,10,0.60,0.00,0.40,0.00,0.00,0.00
43779,B,3,4,1,4,0.25,0.50,0.00,0.25,0.00,0.00
43849,A,2,3,1,10,0.60,0.00,0.40,0.00,0.00,0.00
43892,B,3,4,1,4,0.50,0.50,0.00,0.00,0.00,0.00
43934,A,4,5,1,8,0.75,0.00,0.00,0.25,0.00,0.00
43977,B,4,4,1,8,0.50,0.50,0.00,0.00,0.00,0.00
43997,A,1,1,2,4,0.75,0.00,0.25,0.00,0.00,0.00
44030,A,4,4,1,10,1.00,0.00,0.00,0.00,0.00,0.00
44045,A,3,4,1,14,0.86,0.00,0.14,0.00,0.00,0.00
44065,A,1,1,2,3,1.00,0.00,0.00,0.00,0.00,0.00
44081,A,2,3,1,2,1.00,0.00,0.00,0.00,0.00,0.00
44095,A,2,4,1,4,0.50,0.00,0.50,0.00,0.00,0.00
44099,A,1,3,1,2,1.00,0.00,0.00,0.00,0.00,0.00
44132,B,4,5,1,4,0.00,0.50,0.50,0.00,0.00,0.00
44142,B,2,3,1,4,0.00,0.50,0.50,0.00,0.00,0.00
44165,A,2,3,1,2,1.00,0.00,0.00,0.00,0.00,0.00
44170,A,4,5,2,10,0.40,0.00,0.60,0.00,0.00,0.00
44181,A,1,3,1,2,0.00,1.00,0.00,0.00,0.00,0.00
44221,A,4,4,1,6,0.67,0.33,0.00,0.00,0.00,0.00
44224,A,2,3,1,10,0.80,0.20,0.00,0.00,0.00,0.00
44245,B,3,4,2,4,0.50,0.50,0.00,0.00,0.00,0.00
44350,A,3,4,1,10,0.40,0.20,0.40,0.00,0.00,0.00
44359,A,4,5,1,7,0.43,0.00,0.29,0.29,0.00,0.00
44401,A,4,5,1,9,0.44,0.22,0.11,0.22,0.00,0.00
44405,B,3,5,1,7,0.14,0.29,0.57,0.00,0.00,0.00
44425,A,1,2,2,2,1.00,0.00,0.00,0.00,0.00,0.00
44451,B,2,4,1,4,0.00,0.50,0.00,0.50,0.00,0.00
44455,A,1,3,2,7,0.71,0.00,0.29,0.00,0.00,0.00
44491,A,2,4,1,4,1.00,0.00,0.00,0.00,0.00,0.00
44510,A,1,3,1,2,1.00,0.00,0.00,0.00,0.00,0.00
44515,A,4,5,1,9,0.33,0.22,0.22,0.22,0.00,0.00
44544,A,1,3,1,6,0.67,0.00,0.33,0.00,0.00,0.00
44569,A,4,5,1,13,0.54,0.00,0.46,0.00,0.00,0.00
44582,A,1,3,1,9,0.67,0.00,0.33,0.00,0.00,0.00
44599,B,2,3,1,4,0.50,0.50,0.00,0.00,0.00,0.00
44672,A,2,5,1,13,0.69,0.00,0.31,0.00,0.00,0.00
44716,A,2,3,1,4,1.00,0.00,0.00,0.00,0.00,0.00
44765,A,2,4,1,12,0.67,0.00,0.33,0.00,0.00,0.00
44822,A,4,5,1,18,0.78,0.00,0.22,0.00,0.00,0.00
44887,A,2,3,1,7,0.43,0.43,0.14,0.00,0.00,0.00
44890,A,1,3,2,6,0.67,0.00,0.33,0.00,0.00,0.00
